id,startDate,endDate,carId,totalPrice,userUID
446,2023-06-26,2023-07-02,36,5094,user81
306,2023-06-28,2023-07-04,49,2100,user46
303,2023-06-30,2023-07-05,23,4565,user31
360,2023-06-30,2023-07-05,7,3850,user57
484,2023-07-02,2023-07-10,22,3168,user23
264,2023-07-04,2023-07-12,88,2792,user76
281,2023-07-04,2023-07-07,11,984,user28
83,2023-07-05,2023-07-07,72,1808,user95
92,2023-07-05,2023-07-13,90,6264,user94
123,2023-07-05,2023-07-11,86,4878,user70
478,2023-07-05,2023-07-06,16,694,user12
456,2023-07-08,2023-07-11,38,1788,user41
241,2023-07-17,2023-07-23,14,5046,user48
247,2023-07-17,2023-07-26,30,3456,user22
87,2023-07-18,2023-07-21,66,2892,user79
201,2023-07-19,2023-07-26,100,6510,user73
391,2023-07-19,2023-07-20,15,764,user67
26,2023-07-22,2023-07-29,3,6706,user34
153,2023-07-23,2023-07-27,38,2384,user3
433,2023-07-27,2023-08-02,79,5382,user41
377,2023-07-28,2023-08-01,67,3928,user83
404,2023-07-28,2023-08-02,32,3425,user81
468,2023-07-29,2023-08-04,55,3048,user61
288,2023-07-31,2023-08-04,90,3132,user60
497,2023-08-03,2023-08-05,65,780,user54
15,2023-08-04,2023-08-14,64,5260,user44
82,2023-08-04,2023-08-05,10,954,user34
308,2023-08-04,2023-08-06,17,754,user34
136,2023-08-05,2023-08-09,1,3480,user12
382,2023-08-05,2023-08-08,72,2712,user24
16,2023-08-07,2023-08-17,2,3720,user88
441,2023-08-07,2023-08-16,46,6831,user33
492,2023-08-07,2023-08-12,13,2010,user87
147,2023-08-08,2023-08-09,14,841,user4
351,2023-08-10,2023-08-13,75,2103,user60
411,2023-08-10,2023-08-13,99,2286,user63
169,2023-08-11,2023-08-13,49,700,user16
209,2023-08-13,2023-08-20,57,6741,user75
465,2023-08-13,2023-08-16,38,1788,user33
184,2023-08-14,2023-08-19,15,3820,user66
97,2023-08-15,2023-08-24,7,6930,user99
57,2023-08-17,2023-08-25,15,6112,user83
80,2023-08-18,2023-08-24,11,1968,user93
167,2023-08-20,2023-08-27,22,2772,user17
148,2023-08-21,2023-08-29,52,3872,user40
215,2023-08-21,2023-08-23,84,832,user41
347,2023-08-21,2023-08-27,27,3114,user38
407,2023-08-21,2023-08-23,54,1824,user2
37,2023-08-23,2023-08-26,74,2625,user97
387,2023-08-23,2023-08-30,10,6678,user39
121,2023-08-24,2023-08-30,60,4860,user38
208,2023-08-24,2023-09-03,77,6770,user35
24,2023-08-26,2023-08-31,59,3870,user56
348,2023-08-26,2023-08-31,66,4820,user15
396,2023-08-28,2023-08-30,10,1908,user23
33,2023-08-29,2023-09-06,7,6160,user43
342,2023-08-30,2023-08-31,31,784,user31
187,2023-08-31,2023-09-04,87,2988,user31
389,2023-08-31,2023-09-08,17,3016,user44
479,2023-09-01,2023-09-04,90,2349,user72
17,2023-09-02,2023-09-06,80,1524,user36
53,2023-09-02,2023-09-09,73,6097,user70
64,2023-09-02,2023-09-04,92,1366,user1
152,2023-09-03,2023-09-10,16,4858,user25
242,2023-09-03,2023-09-12,5,4959,user5
395,2023-09-03,2023-09-12,40,5238,user34
51,2023-09-06,2023-09-10,42,2528,user75
453,2023-09-06,2023-09-14,1,6960,user76
255,2023-09-09,2023-09-19,45,9510,user89
107,2023-09-10,2023-09-20,11,3280,user68
240,2023-09-11,2023-09-20,70,4923,user72
431,2023-09-11,2023-09-20,72,8136,user78
318,2023-09-12,2023-09-18,50,4644,user43
390,2023-09-12,2023-09-13,99,762,user59
146,2023-09-13,2023-09-19,69,1872,user31
110,2023-09-14,2023-09-18,22,1584,user35
313,2023-09-17,2023-09-21,74,3500,user91
418,2023-09-17,2023-09-21,100,3720,user55
74,2023-09-19,2023-09-23,90,3132,user11
368,2023-09-19,2023-09-26,89,3675,user6
228,2023-09-20,2023-09-22,76,1868,user72
443,2023-09-21,2023-09-25,68,3616,user87
191,2023-09-23,2023-09-27,52,1936,user33
366,2023-09-23,2023-10-02,25,8172,user98
435,2023-09-23,2023-09-27,21,3528,user60
470,2023-09-23,2023-10-01,95,2888,user100
30,2023-09-24,2023-10-01,59,5418,user91
420,2023-09-26,2023-10-02,47,4284,user73
464,2023-09-27,2023-10-07,97,7000,user31
349,2023-09-29,2023-09-30,27,519,user51
79,2023-10-03,2023-10-13,44,8180,user55
397,2023-10-05,2023-10-15,23,9130,user47
449,2023-10-06,2023-10-12,48,2910,user87
214,2023-10-09,2023-10-13,81,3336,user44
63,2023-10-10,2023-10-14,89,2100,user37
98,2023-10-10,2023-10-14,88,1396,user82
235,2023-10-10,2023-10-20,100,9300,user31
403,2023-10-10,2023-10-17,36,5943,user47
473,2023-10-10,2023-10-11,66,964,user67
251,2023-10-11,2023-10-14,91,1851,user62
245,2023-10-13,2023-10-16,6,2340,user45
143,2023-10-14,2023-10-21,69,2184,user59
254,2023-10-17,2023-10-18,49,350,user18
149,2023-10-18,2023-10-24,16,4164,user63
383,2023-10-18,2023-10-20,54,1824,user96
161,2023-10-22,2023-11-01,76,9340,user99
165,2023-10-27,2023-10-28,65,390,user91
46,2023-10-28,2023-10-30,43,1500,user37
329,2023-10-31,2023-11-08,83,4256,user30
416,2023-10-31,2023-11-10,29,8970,user92
75,2023-11-04,2023-11-12,37,7792,user46
117,2023-11-04,2023-11-12,49,2800,user96
280,2023-11-07,2023-11-14,18,6265,user88
475,2023-11-08,2023-11-12,16,2776,user79
362,2023-11-09,2023-11-19,13,4020,user9
482,2023-11-12,2023-11-16,26,1232,user72
72,2023-11-13,2023-11-23,52,4840,user66
458,2023-11-13,2023-11-23,61,5630,user34
471,2023-11-14,2023-11-21,24,3682,user57
489,2023-11-15,2023-11-25,45,9510,user74
10,2023-11-16,2023-11-23,70,3829,user84
78,2023-11-17,2023-11-22,65,1950,user11
171,2023-11-18,2023-11-21,79,2691,user90
269,2023-11-19,2023-11-24,96,3680,user42
300,2023-11-19,2023-11-29,81,8340,user40
36,2023-11-21,2023-11-30,64,4734,user58
104,2023-11-22,2023-11-25,69,936,user27
263,2023-11-23,2023-12-01,19,7888,user84
285,2023-11-23,2023-11-30,47,4998,user38
81,2023-11-24,2023-11-28,60,3240,user9
388,2023-11-24,2023-12-04,33,6290,user48
52,2023-11-25,2023-12-03,77,5416,user72
27,2023-11-29,2023-12-06,88,2443,user67
56,2023-11-29,2023-12-02,99,2286,user78
113,2023-12-01,2023-12-11,53,3090,user30
405,2023-12-01,2023-12-04,13,1206,user77
89,2023-12-02,2023-12-05,40,1746,user25
199,2023-12-02,2023-12-12,26,3080,user39
130,2023-12-03,2023-12-11,61,4504,user58
444,2023-12-03,2023-12-13,16,6940,user56
4,2023-12-07,2023-12-12,56,3340,user79
50,2023-12-07,2023-12-09,11,656,user53
252,2023-12-07,2023-12-12,18,4475,user100
393,2023-12-08,2023-12-17,1,7830,user13
188,2023-12-11,2023-12-21,68,9040,user60
375,2023-12-12,2023-12-15,89,1575,user31
59,2023-12-15,2023-12-22,12,6909,user92
102,2023-12-15,2023-12-24,37,8766,user21
412,2023-12-18,2023-12-23,69,1560,user47
331,2023-12-22,2023-12-28,100,5580,user70
301,2023-12-23,2023-12-26,79,2691,user8
120,2023-12-25,2024-01-04,21,8820,user10
257,2023-12-25,2023-12-31,41,3876,user84
359,2023-12-26,2023-12-31,2,1860,user4
402,2023-12-27,2024-01-01,37,4870,user29
11,2023-12-29,2024-01-04,79,5382,user18
428,2023-12-30,2024-01-05,53,1854,user33
14,2023-12-31,2024-01-02,78,966,user90
196,2023-12-31,2024-01-02,32,1370,user11
210,2023-12-31,2024-01-05,93,3610,user16
230,2023-12-31,2024-01-05,57,4815,user14
190,2024-01-03,2024-01-06,77,2031,user13
309,2024-01-07,2024-01-15,55,4064,user60
179,2024-01-09,2024-01-11,62,1230,user53
292,2024-01-09,2024-01-12,91,1851,user96
19,2024-01-10,2024-01-20,54,9120,user8
338,2024-01-10,2024-01-18,48,3880,user16
189,2024-01-11,2024-01-18,28,3696,user95
445,2024-01-11,2024-01-21,11,3280,user93
488,2024-01-13,2024-01-21,9,4776,user44
5,2024-01-14,2024-01-19,20,4705,user71
154,2024-01-15,2024-01-21,76,5604,user37
345,2024-01-15,2024-01-20,5,2755,user83
145,2024-01-16,2024-01-25,62,5535,user6
39,2024-01-17,2024-01-24,11,2296,user76
321,2024-01-17,2024-01-21,72,3616,user87
298,2024-01-18,2024-01-22,93,2888,user42
162,2024-01-20,2024-01-26,14,5046,user89
217,2024-01-21,2024-01-29,42,5056,user69
99,2024-01-25,2024-02-01,95,2527,user71
29,2024-01-27,2024-02-06,81,8340,user73
237,2024-01-27,2024-02-05,42,5688,user31
265,2024-01-27,2024-02-05,21,7938,user88
337,2024-01-28,2024-02-06,21,7938,user31
101,2024-01-29,2024-02-01,53,927,user41
62,2024-01-31,2024-02-07,45,6657,user24
494,2024-02-01,2024-02-06,96,3680,user12
225,2024-02-03,2024-02-12,72,8136,user11
353,2024-02-04,2024-02-13,85,5904,user91
413,2024-02-04,2024-02-08,65,1560,user75
7,2024-02-05,2024-02-10,78,2415,user22
132,2024-02-05,2024-02-10,16,3470,user94
195,2024-02-08,2024-02-11,38,1788,user82
282,2024-02-08,2024-02-09,41,646,user14
311,2024-02-14,2024-02-19,52,2420,user29
376,2024-02-15,2024-02-23,99,6096,user41
212,2024-02-16,2024-02-21,72,4520,user1
341,2024-02-18,2024-02-26,74,7000,user100
48,2024-02-19,2024-02-28,82,7641,user57
158,2024-02-19,2024-02-29,63,3240,user81
232,2024-02-19,2024-02-26,53,2163,user60
344,2024-02-20,2024-03-01,62,6150,user43
429,2024-02-20,2024-02-27,28,3696,user20
259,2024-02-22,2024-02-24,20,1882,user36
250,2024-02-24,2024-03-05,29,8970,user22
310,2024-02-25,2024-02-27,11,656,user75
260,2024-02-26,2024-03-02,17,1885,user96
18,2024-02-28,2024-03-07,34,3400,user65
108,2024-02-28,2024-03-03,36,3396,user76
202,2024-02-28,2024-03-06,50,5418,user15
34,2024-02-29,2024-03-02,1,1740,user43
49,2024-03-01,2024-03-08,41,4522,user38
45,2024-03-03,2024-03-10,16,4858,user88
163,2024-03-03,2024-03-07,47,2856,user83
352,2024-03-03,2024-03-07,81,3336,user2
415,2024-03-03,2024-03-13,28,5280,user84
274,2024-03-05,2024-03-15,99,7620,user58
423,2024-03-07,2024-03-13,12,5922,user30
371,2024-03-09,2024-03-13,60,3240,user31
370,2024-03-10,2024-03-18,14,6728,user88
419,2024-03-11,2024-03-19,87,5976,user1
474,2024-03-11,2024-03-13,2,744,user67
275,2024-03-12,2024-03-16,44,3272,user4
434,2024-03-12,2024-03-16,15,3056,user12
372,2024-03-13,2024-03-17,82,3396,user100
172,2024-03-14,2024-03-21,59,5418,user78
105,2024-03-15,2024-03-19,59,3096,user80
495,2024-03-15,2024-03-24,65,3510,user9
65,2024-03-16,2024-03-23,2,2604,user19
133,2024-03-17,2024-03-27,13,4020,user61
305,2024-03-21,2024-03-23,59,1548,user29
421,2024-03-23,2024-03-26,80,1143,user54
328,2024-03-25,2024-03-31,21,5292,user100
327,2024-03-26,2024-04-01,71,4920,user95
354,2024-03-30,2024-04-02,5,1653,user24
406,2024-03-31,2024-04-06,47,4284,user93
385,2024-04-03,2024-04-09,54,5472,user70
437,2024-04-03,2024-04-10,87,5229,user83
284,2024-04-04,2024-04-08,13,1608,user33
262,2024-04-05,2024-04-07,50,1548,user84
363,2024-04-05,2024-04-08,18,2685,user95
480,2024-04-08,2024-04-11,87,2241,user92
323,2024-04-10,2024-04-16,54,5472,user61
496,2024-04-11,2024-04-12,23,913,user63
207,2024-04-13,2024-04-15,83,1064,user53
125,2024-04-14,2024-04-17,94,1257,user59
213,2024-04-14,2024-04-15,12,987,user27
294,2024-04-14,2024-04-24,53,3090,user18
398,2024-04-14,2024-04-23,51,7029,user94
67,2024-04-15,2024-04-20,47,3570,user4
116,2024-04-15,2024-04-16,19,986,user70
127,2024-04-15,2024-04-24,26,2772,user65
2,2024-04-21,2024-04-28,100,6510,user87
134,2024-04-21,2024-04-29,57,7704,user56
332,2024-04-21,2024-04-30,30,3456,user88
469,2024-04-23,2024-05-02,22,3564,user18
77,2024-04-24,2024-04-26,91,1234,user13
408,2024-04-24,2024-05-04,88,3490,user46
394,2024-04-26,2024-05-06,100,9300,user40
12,2024-04-27,2024-05-06,98,6696,user10
224,2024-04-27,2024-05-05,24,4208,user92
38,2024-04-29,2024-05-03,44,3272,user30
367,2024-04-30,2024-05-02,96,1472,user88
414,2024-04-30,2024-05-08,61,4504,user81
410,2024-05-01,2024-05-08,28,3696,user91
498,2024-05-03,2024-05-09,87,4482,user66
462,2024-05-04,2024-05-07,100,2790,user93
243,2024-05-06,2024-05-13,51,5467,user2
119,2024-05-12,2024-05-20,52,3872,user45
467,2024-05-12,2024-05-21,38,5364,user66
219,2024-05-13,2024-05-19,55,3048,user41
47,2024-05-14,2024-05-22,82,6792,user77
112,2024-05-15,2024-05-23,14,6728,user71
365,2024-05-15,2024-05-17,82,1698,user50
93,2024-05-16,2024-05-23,95,2527,user81
296,2024-05-18,2024-05-27,14,7569,user46
9,2024-05-20,2024-05-21,55,508,user37
277,2024-05-22,2024-05-26,20,3764,user15
156,2024-05-23,2024-05-24,74,875,user32
358,2024-05-23,2024-05-26,39,1545,user65
198,2024-05-24,2024-05-27,57,2889,user26
166,2024-05-26,2024-06-02,51,5467,user83
13,2024-05-27,2024-05-31,94,1676,user26
141,2024-05-27,2024-06-06,63,3240,user12
490,2024-05-27,2024-05-31,100,3720,user31
144,2024-05-29,2024-06-07,60,7290,user52
286,2024-05-29,2024-06-01,85,1968,user75
40,2024-05-30,2024-06-08,41,5814,user29
85,2024-05-30,2024-06-02,76,2802,user73
333,2024-06-01,2024-06-02,94,419,user30
258,2024-06-02,2024-06-06,90,3132,user46
268,2024-06-02,2024-06-09,82,5943,user58
239,2024-06-03,2024-06-12,13,3618,user98
90,2024-06-04,2024-06-09,94,2095,user13
94,2024-06-05,2024-06-11,63,1944,user86
229,2024-06-05,2024-06-11,89,3150,user72
316,2024-06-06,2024-06-09,24,1578,user25
355,2024-06-06,2024-06-13,55,3556,user9
483,2024-06-07,2024-06-17,92,6830,user2
364,2024-06-10,2024-06-13,64,1578,user36
455,2024-06-10,2024-06-13,80,1143,user81
84,2024-06-11,2024-06-15,17,1508,user95
378,2024-06-13,2024-06-17,80,1524,user72
326,2024-06-14,2024-06-19,98,3720,user11
493,2024-06-15,2024-06-16,63,324,user25
334,2024-06-16,2024-06-21,81,4170,user59
314,2024-06-17,2024-06-24,31,5488,user37
160,2024-06-18,2024-06-28,77,6770,user42
233,2024-06-20,2024-06-28,67,7856,user21
231,2024-06-21,2024-06-30,6,7020,user6
340,2024-06-22,2024-07-01,57,8667,user21
500,2024-06-26,2024-07-03,6,5460,user87
246,2024-06-28,2024-07-08,75,7010,user16
373,2024-06-30,2024-07-01,95,361,user7
142,2024-07-04,2024-07-09,42,3160,user7
461,2024-07-06,2024-07-12,49,2100,user63
8,2024-07-08,2024-07-17,53,2781,user36
216,2024-07-08,2024-07-18,69,3120,user12
220,2024-07-10,2024-07-11,80,381,user81
279,2024-07-16,2024-07-25,6,7020,user100
459,2024-07-16,2024-07-18,24,1052,user84
176,2024-07-17,2024-07-18,88,349,user82
43,2024-07-18,2024-07-20,89,1050,user84
139,2024-07-18,2024-07-28,93,7220,user92
238,2024-07-18,2024-07-21,23,2739,user17
248,2024-07-18,2024-07-25,64,3682,user73
131,2024-07-19,2024-07-26,6,5460,user12
325,2024-07-19,2024-07-22,96,2208,user49
450,2024-07-19,2024-07-26,95,2527,user81
267,2024-07-20,2024-07-26,75,4206,user63
278,2024-07-21,2024-07-31,39,5150,user17
386,2024-07-22,2024-07-24,87,1494,user47
438,2024-07-23,2024-07-31,82,6792,user83
320,2024-07-26,2024-07-31,84,2080,user5
114,2024-07-29,2024-08-04,75,4206,user79
346,2024-07-31,2024-08-09,75,6309,user11
472,2024-08-01,2024-08-04,64,1578,user22
55,2024-08-02,2024-08-07,28,2640,user97
218,2024-08-02,2024-08-10,86,6504,user91
430,2024-08-02,2024-08-10,73,6968,user26
451,2024-08-02,2024-08-10,86,6504,user3
138,2024-08-03,2024-08-12,26,2772,user95
20,2024-08-08,2024-08-10,18,1790,user35
304,2024-08-10,2024-08-17,8,6566,user9
374,2024-08-13,2024-08-18,83,2660,user66
137,2024-08-14,2024-08-21,40,4074,user32
324,2024-08-14,2024-08-21,25,6356,user3
178,2024-08-15,2024-08-19,55,2032,user99
164,2024-08-16,2024-08-20,78,1932,user96
21,2024-08-19,2024-08-21,76,1868,user68
61,2024-08-19,2024-08-28,58,3330,user34
439,2024-08-19,2024-08-20,82,849,user60
442,2024-08-19,2024-08-22,22,1188,user89
211,2024-08-20,2024-08-26,50,4644,user94
103,2024-08-23,2024-08-30,96,5152,user1
